State,Q-Values
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(5))",[0.07 0.08 0.07 0.1  0.1  1.19]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(4))",[0.03 0.05 0.04 0.02 0.01 1.13]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(3))",[-0.    0.01 -0.03 -0.02 -0.01  1.07]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(2))",[-0.05 -0.05 -0.04 -0.05 -0.05  1.02]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(1))",[-0.09 -0.09 -0.11 -0.15 -0.1   0.97]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(5), np.int64(2))",[-0.1  -0.12 -0.1  -0.11  0.97  0.  ]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(0))",[-0.18 -0.17 -0.14 -0.14 -0.17  0.92]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(5), np.int64(1))",[-0.17 -0.12 -0.18 -0.14  0.92  0.34]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(4), np.int64(2))",[-0.12 -0.12 -0.11 -0.11  0.92  0.  ]
"(np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(5), np.int64(0))",[-0.17 -0.16 -0.17 -0.2   0.87  0.78]
